Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Chen Anbao;5005029;CGX;1930;1939;1990;1990;3;4;0;1;0;4;0;L50028;1930;1970;1999;x
Chen Changjie;5005030;CGX;1937;1937;1990;1990;2;3;0;1;0;4;0;L50029;1937;1968;1999;x
Chen Cheng;5005031;CGX;1924;1928;1930;1990;1;5;544;1;0;4;0;L50030;1924;1965;1999;x
Chen Jitang;5005032;CGX;1920;1928;1930;1938;0;3;513;1;0;1;0;L50031;1920;1954;1999;x
Chen Jihuan;5005033;CGX;1930;1939;1990;1990;3;4;0;1;0;4;0;L50032;1930;1944;1999;x
Chen Gongxia;5005034;CGX;1939;1990;1990;1990;3;3;0;0;0;4;0;L50033;1939;1949;1999;x
Chen Mingren;5005035;CGX;1933;1942;1955;1990;2;4;2;1;0;4;0;L50034;1933;1973;1999;x
Chen Daqing;5005036;CGX;1937;1943;1960;1967;0;5;0;2;0;4;0;L50035;1937;1973;1999;x
Chen Tie;5005037;CGX;1924;1938;1990;1990;3;3;0;0;0;4;0;L50036;1924;1949;1999;x
Chen Wanren;5005038;CGX;1937;1938;1990;1990;2;4;0;1;0;4;0;L50037;1937;1970;1999;x
Chen Wenqi;5005039;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50038;1930;1941;1999;x
Zheng Tingzhen;5005040;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50039;1930;1938;1999;x
Zheng Tingji;5005041;CGX;1930;1939;1990;1990;3;4;16;1;0;4;0;L50040;1930;1970;1999;x
Cheng Qian;5005042;CGX;1917;1925;1938;1990;1;5;576;1;0;3;0;L50041;1917;1968;1999;x
Zheng Zuomin;5005043;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50042;1937;1940;1999;x
Zheng Dongguo;5005044;CGX;1934;1938;1990;1990;2;3;2;0;0;4;0;L50043;1938;1991;1999;x
Ji Zhangjian;5005045;CGX;1939;1999;1999;1999;3;4;256;0;0;4;0;L50044;1939;1992;1999;x
Ji Xingwen;5005046;CGX;1940;1990;1990;1990;3;4;2;0;0;4;0;L50045;1940;1958;1999;x
Qi Xueqi;5005047;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50046;1938;1970;1999;x
Jiang Zhiying;5005048;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50047;1930;1941;1999;x
Chiang Kai-Shek;5005049;CGX;1914;1914;1914;1914;0;8;0;3;0;4;0;L50048;1914;1975;1999;x
Jiang Guangnai;5005050;CGX;1937;1937;1990;1990;2;4;2;1;0;2;0;L50049;1937;1967;1999;x
Jiang Dingwen;5005051;CGX;1921;1938;1940;1990;2;4;0;1;0;4;0;L50050;1921;1974;1999;x
Jiang Yuzhen;5005052;CGX;1926;1990;1990;1990;3;3;0;0;0;4;0;L50051;1926;1938;1999;x
Jie Fang;5005053;CGX;1940;1943;1990;1990;3;4;1;1;0;1;0;L50052;1940;1970;1999;x
Chih Fengcheng;5005054;CGX;1930;1939;1990;1990;3;3;0;0;0;4;0;L50053;1930;1955;1999;x
Qin Yizhi;5005055;CGX;1938;1947;1999;1999;2;3;0;0;0;4;0;L50054;1938;1995;1999;x
Zhou Jiabin;5005056;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50055;1937;1976;1999;x
Zhou Zhidao;5005057;CGX;1942;1946;1990;1990;2;3;0;0;0;4;0;L50056;1942;1984;1999;x
Zhou Qingxiang;5005058;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50057;1930;1939;1999;x
Zhou Fu;5005059;CGX;1930;1939;1990;1990;3;4;0;1;0;4;0;L50058;1930;1943;1999;x
Zhou Fucheng;5005060;CGX;1937;1939;1990;1990;2;3;0;0;0;4;0;L50059;1937;1953;1999;x
Zhou Lan;5005061;CGX;1924;1926;1990;1990;2;3;16;1;0;4;0;L50060;1924;1953;1999;x
Zhou Yan;5005062;CGX;1930;1990;1990;1990;3;3;0;0;0;3;0;L50061;1930;1953;1999;x
Zhu Zhiyi;5005063;CGX;1941;1944;1990;1990;2;4;0;1;0;4;0;L50062;1941;1970;1999;x
Zhu Chi;5005064;CGX;1936;1990;1990;1990;3;3;0;0;0;4;0;L50063;1936;1938;1999;x
Zhu Huaibing;5005065;CGX;1925;1939;1990;1990;2;3;0;0;0;4;0;L50064;1925;1968;1999;x
Zhu Shaozhou;5005066;CGX;1927;1938;1990;1990;2;3;0;1;0;4;0;L50065;1927;1976;1999;x
Zhu Shaoliang;5005067;CGX;1926;1929;1938;1939;0;5;0;2;0;4;0;L50066;1926;1963;1999;x
Zhu Dingqing;5005068;CGX;1935;1943;1990;1990;2;3;0;0;0;3;0;L50067;1935;1982;1999;x
Zhu Qi;5005069;CGX;1939;1990;1990;1990;3;3;0;0;0;4;0;L50068;1939;1970;1999;x
Qiu Qingquan;5005070;CGX;1924;1939;1990;1990;3;5;4;1;0;4;0;L50069;1924;1970;1999;x
Qiu Kaiji;5005071;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50070;1938;1970;1999;x
Zhong Song;5005072;CGX;1937;1945;1999;1999;2;3;0;0;0;4;0;L50071;1937;1995;1999;x
Zhong Yi;5005073;CGX;1931;1990;1990;1990;3;3;0;0;0;4;0;L50072;1931;1940;1999;x
Daljaya;5005074;CGX;1938;1940;1990;1990;2;4;16;1;0;4;0;L50073;1938;1970;1999;x
Fan Hanjie;5005075;CGX;1924;1928;1990;1990;2;3;0;0;0;4;0;L50074;1924;1976;1999;x
Fang Jing;5005076;CGX;1942;1999;1999;1999;3;4;2;0;0;4;0;L50075;1942;1990;1999;x
Fang Xianjue;5005077;CGX;1940;1945;1990;1990;3;4;2;1;0;4;0;L50076;1940;1983;1999;x
Fang Shuhong;5005078;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50077;1930;1939;1999;x
Fang Tian;5005079;CGX;1938;1999;1999;1999;3;3;0;0;0;4;0;L50078;1938;1991;1999;x
Feng Anbang;5005080;CGX;1935;1935;1990;1990;2;4;4;0;0;3;0;L50079;1932;1938;1999;x
Feng Zhian;5005081;CGX;1935;1942;1990;1990;2;4;0;1;0;3;0;L50080;1935;1954;1999;x
Feng Shengfa;5005082;CGX;1935;1937;1990;1990;2;4;0;1;0;3;0;L50081;1935;1957;1999;x
Feng Qinzai;5005083;CGX;1928;1930;1990;1990;2;3;0;0;0;3;0;L50082;1928;1963;1999;x
Feng Yuxiang;5005084;CGX;1935;1935;1935;1937;0;3;1;1;0;2;0;L50083;1935;1948;1999;x
Fu Bingxun;5005085;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50084;1938;1952;1999;x
Fu Zuoyi;5005086;CGX;1937;1937;1942;1990;1;5;128;2;0;3;0;L50085;1937;1970;1999;x
Han Jun;5005087;CGX;1926;1990;1990;1990;3;3;0;0;0;4;0;L50086;1926;1975;1999;x
Han Fuqu;5005088;CGX;1930;1930;1990;1990;2;5;520;1;0;1;0;L50087;1930;1938;1999;x
Han Liancheng;5005089;CGX;1941;1945;1990;1990;3;4;0;1;0;1;0;L50088;1941;1984;1999;x
Hao Menglin;5005090;CGX;1930;1930;1990;1990;2;3;0;0;0;4;0;L50089;1930;1938;1999;x
He Jifeng;5005091;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50090;1930;1949;1999;x
He Zhuguo;5005092;CGX;1932;1938;1990;1990;2;4;0;1;0;4;0;L50091;1932;1985;1999;x
He Guoguang;5005093;CGX;1929;1929;1990;1990;2;3;1;0;0;4;0;L50092;1929;1969;1999;x
He Shaozhou;5005094;CGX;1937;1990;1990;1990;3;3;0;0;0;3;0;L50093;1937;1942;1999;x
He Weizhen;5005095;CGX;1939;1944;1990;1990;3;4;0;1;0;4;0;L50094;1939;1979;1999;x
He Wending;5005096;CGX;1932;1990;1990;1990;3;3;0;0;0;4;0;L50095;1932;1968;1999;x
He Yaozu;5005097;CGX;1926;1938;1990;1990;2;4;0;1;0;4;0;L50096;1926;1961;1999;x
He Yingqin;5005098;CGX;1921;1938;1939;1942;1;5;1;3;0;4;0;L50097;1921;1987;1999;x
Hou Jingru;5005099;CGX;1925;1990;1990;1990;3;3;0;0;0;4;0;L50098;1925;1952;1999;x
Xia Chuzhong;5005100;CGX;1935;1938;1990;1990;2;4;0;1;0;4;0;L50099;1935;1988;1999;x
Xia Guozhang;5005101;CGX;1936;1990;1990;1990;3;3;64;0;0;4;0;L50100;1936;1938;1999;x
Xia Wei;5005102;CGX;1939;1942;1990;1990;2;4;0;1;0;4;0;L50101;1939;1970;1999;x
Xiang Fengwu;5005103;CGX;1939;1942;1990;1990;2;4;24;1;0;4;0;L50102;1939;1958;1999;x
Xiao Jimian;5005104;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50103;1938;1970;1999;x
Xiao Zhichu;5005105;CGX;1941;1943;1990;1990;3;4;1;1;0;4;0;L50104;1941;1970;1999;x
Xiao Yisu;5005106;CGX;1936;1945;1990;1990;2;4;4;1;0;4;0;L50105;1936;1975;1999;x
Xu Jizhang;5005107;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50106;1937;1938;1999;x
Xu Jingtang;5005108;CGX;1937;1937;1990;1990;2;3;0;0;0;4;0;L50107;1937;1967;1999;x
Xu Rucheng;5005109;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50108;1930;1945;1999;x
Xu Guozhang;5005110;CGX;1938;1990;1990;1990;3;3;128;0;0;4;0;L50109;1938;1943;1999;x
Xu Tingyao;5005111;CGX;1936;1941;1990;1990;2;4;32;1;0;4;0;L50110;1936;1975;1999;x
Xu Zuyi;5005112;CGX;1937;1941;1990;1990;2;4;1;1;0;4;0;L50111;1937;1976;1999;x
Xu Yuanquan;5005113;CGX;1932;1932;1932;1990;1;5;768;1;0;4;0;L50112;1932;1960;1999;x
Xu Yongchang;5005114;CGX;1937;1937;1941;1990;1;4;1;1;0;4;0;L50113;1937;1970;1999;x
Xuan Tiewu;5005115;CGX;1936;1940;1990;1990;2;3;0;0;0;4;0;L50114;1936;1964;1999;x
Xue Yue;5005116;CGX;1922;1927;1933;1999;1;5;2;1;0;4;0;L50115;1922;1998;1999;x
Hu Changqing;5005117;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50116;1937;1950;1999;x
Hu Xianmei;5005118;CGX;1932;1990;1990;1990;3;3;0;0;0;4;0;L50117;1932;1938;1999;x
Hu Yibin;5005119;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50118;1930;1942;1999;x
Hu Ruoyu;5005120;CGX;1917;1927;1990;1990;2;3;0;0;0;4;0;L50119;1917;1949;1999;x
Hu Lian;5005121;CGX;1942;1944;1948;1990;1;4;5;0;0;4;0;L50120;1942;1977;1999;x
Hu Su;5005122;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50121;1930;1978;1999;x
Hu Zongnan;5005123;CGX;1926;1935;1990;1990;2;3;0;0;0;4;0;L50122;1926;1962;1999;x
Hu Ying;5005124;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50123;1930;1943;1999;x
Huang Zhenwu;5005125;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50124;1938;1969;1999;x
Huang Jie;5005126;CGX;1935;1937;1944;1954;0;5;1;2;0;4;0;L50125;1935;1995;1999;x
Huang Qixiang;5005127;CGX;1937;1937;1939;1990;1;5;0;2;0;4;0;L50126;1937;1970;1999;x
Huang Xiansheng;5005128;CGX;1928;1935;1990;1990;2;3;2;0;0;2;0;L50127;1928;1938;1999;x
Huang Guoliang;5005129;CGX;1937;1938;1990;1990;2;4;0;1;0;4;0;L50128;1937;1978;1999;x
Huang Meixing;5005130;CGX;1935;1990;1990;1990;3;4;4;0;0;4;0;L50129;1935;1938;1999;x
Huang Bamei;5005131;CGX;1940;1990;1990;1990;3;4;16;0;0;4;0;L50130;1940;1970;1999;x
Huang Botao;5005132;CGX;1928;1943;1990;1990;2;4;6;0;0;4;0;L50131;1928;1948;1999;x
Huang Shaoxiong ;5005133;CGX;1937;1937;1938;1990;1;5;1;2;0;4;0;L50132;1937;1966;1999;x
Huang Tao;5005134;CGX;1937;1944;1990;1990;3;3;32;0;0;4;0;L50133;1937;1973;1999;x
Huang Qiaosong;5005135;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50134;1930;1948;1999;x
Huang Wei;5005136;CGX;1934;1938;1990;1990;2;4;2;0;0;4;0;L50135;1934;1989;1999;x
Huang Yongan;5005137;CGX;1938;1940;1990;1990;2;4;4;1;0;4;0;L50136;1938;1979;1999;x
Huo Kuizhang;5005138;CGX;1924;1937;1990;1990;2;3;0;0;0;4;0;L50137;1924;1953;1999;x
Rao Guohua;5005139;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50138;1930;1938;1999;x
Ji Chong Chon;5005140;CGX;1938;1941;1990;1990;2;4;16;1;0;4;0;L50139;1938;1970;1999;x
Rong Xiang;5005141;CGX;1930;1930;1990;1990;2;3;0;1;0;4;0;L50140;1930;1941;1999;x
Rong Youlьe;5005142;CGX;1938;1990;1990;1990;3;3;0;0;0;3;0;L50141;1938;1970;1999;x
Gan Lichu;5005143;CGX;1927;1935;1990;1990;2;3;0;0;0;4;0;L50142;1927;1950;1999;x
Kan Weiyong;5005144;CGX;1937;1942;1990;1990;3;4;0;1;0;4;0;L50143;1937;1944;1999;x
Gao Zhisong;5005145;CGX;1924;1990;1990;1990;3;3;0;0;0;4;0;L50144;1924;1938;1999;x
Gao Guizi;5005146;CGX;1938;1940;1990;1990;2;4;0;1;0;4;0;L50145;1938;1959;1999;x
Gao Kuiyuan;5005147;CGX;1937;1944;1949;1957;0;6;0;1;0;4;0;L50146;1937;2010;2011;x
Gao Shuxun;5005148;CGX;1935;1939;1990;1990;2;4;64;1;0;4;0;L50147;1935;1972;1999;x
Gao Shuangcheng;5005149;CGX;1938;1940;1990;1990;2;4;8;1;0;4;0;L50148;1938;1945;1999;x
Ge Xiancai;5005150;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50149;1938;1944;1999;x
Kim Hak-Keu;5005151;CGX;1940;1990;1990;1990;3;4;16;0;0;4;0;L50150;1940;1946;1999;x
Gu Zhenglun;5005152;CGX;1930;1930;1990;1990;2;3;0;0;0;4;0;L50151;1930;1941;1999;x
Gu Zhutong;5005153;CGX;1930;1930;1930;1990;1;3;0;1;0;4;0;L50152;1930;1944;1999;x
Gu Dinghua;5005154;CGX;1939;1990;1990;1990;3;3;0;0;0;4;0;L50153;1939;1985;1999;x
Guan Linzheng;5005155;CGX;1937;1940;1990;1990;2;4;0;1;0;4;0;L50154;1937;1980;1999;x
Gui Zezhun;5005156;CGX;1930;1930;1990;1990;2;3;0;0;0;5;0;L50155;1930;1941;1999;x
Gui Yongqing;5005157;CGX;1935;1943;1990;1990;2;4;256;1;0;4;0;L50156;1935;1954;1999;x
Kong Zongzhou;5005158;CGX;1944;1990;1990;1990;3;4;0;0;0;4;0;L50157;1944;1970;1999;x
Guo Chan;5005159;CGX;1926;1990;1990;1990;3;3;32;0;0;4;0;L50158;1926;1950;1999;x
Guo Jijiao;5005160;CGX;1932;1932;1990;1990;2;3;0;0;0;4;0;L50159;1932;1970;1999;x
Guo Jingyun;5005161;CGX;1939;1990;1990;1990;3;3;1;0;0;4;0;L50160;1939;1945;1999;x
Guo Xunqi;5005162;CGX;1925;1939;1990;1990;3;4;0;1;0;4;0;L50161;1925;1959;1999;x
Guo Rudong;5005163;CGX;1928;1928;1990;1990;2;3;0;0;0;4;0;L50162;1928;1952;1999;x
Guo Lьzhou;5005164;CGX;1939;1990;1990;1990;3;4;256;0;0;4;0;L50163;1939;1970;1999;x
Guo Zongfen;5005165;CGX;1937;1937;1990;1990;3;4;0;1;0;4;0;L50164;1937;1969;1999;x
Lai Chuanxiang;5005166;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50165;1937;1941;1999;x
Lee Beom Seok;5005167;CGX;1942;1990;1990;1990;3;4;16;0;0;4;0;L50166;1942;1945;1999;x
Lei Zhong;5005168;CGX;1936;1990;1990;1990;3;3;128;0;0;4;0;L50167;1936;1938;1999;x
Leng Xin;5005169;CGX;1940;1990;1990;1990;3;3;0;0;0;4;0;L50168;1940;1987;1999;x
Li Zhen;5005170;CGX;1930;1990;1990;1990;3;4;514;1;0;4;0;L50169;1930;1988;1999;x
Li Zhenqiu;5005171;CGX;1944;1946;1990;1990;2;4;0;1;0;4;0;L50170;1944;1970;1999;x
Li Jiayu;5005172;CGX;1924;1935;1990;1990;2;3;0;1;0;4;0;L50171;1924;1944;1999;x
Li Jue;5005173;CGX;1930;1930;1990;1990;2;3;0;0;0;4;0;L50172;1930;1987;1999;x
Li Chunnong;5005174;CGX;1930;1930;1930;1990;1;4;513;1;0;4;0;L50173;1930;1942;1999;x
Li Hanhun;5005175;CGX;1925;1939;1990;1990;2;4;0;1;0;4;0;L50175;1925;1987;1999;x
Li Xianzhou;5005176;CGX;1934;1938;1990;1990;3;3;0;0;0;4;0;L50176;1934;1988;1999;x
Li Yikuang;5005177;CGX;1942;2010;2010;2010;3;4;0;0;0;3;0;L50177;1942;2004;2004;x
Li Mi;5005178;CGX;1930;1940;1944;1990;1;5;64;0;0;4;0;L50178;1930;1973;1999;x
Li Minghao;5005179;CGX;1925;1990;1990;1990;3;3;0;0;0;4;0;L50179;1925;1948;1999;x
Li Mo'an;5005180;CGX;1932;1935;2010;2010;2;4;0;1;0;4;0;L50180;1932;2001;2002;x
Li Bifan;5005181;CGX;1926;1990;1990;1990;3;3;0;0;0;4;0;L50181;1926;1938;1999;x
Li Pinxian;5005182;CGX;1926;1990;1990;1990;3;3;0;0;0;4;0;L50182;1926;1987;1999;x
Li Tao;5005183;CGX;1939;1942;1990;1990;2;4;1;1;0;4;0;L50183;1939;1957;1999;x
Li Tianxia;5005184;CGX;1927;1944;1990;1990;2;3;0;0;0;4;0;L50184;1927;1967;1999;x
Li Zefen;5005185;CGX;1940;1990;1990;1990;3;3;1;0;0;4;0;L50185;1940;1970;1999;x
Li Zongren;5005186;CGX;1937;1937;1941;1944;1;6;18;3;0;4;0;L50186;1937;1969;1999;x
Li Wen;5005187;CGX;1938;1945;1990;1990;2;3;0;0;0;4;0;L50187;1938;1977;1999;x
Li Wentian;5005188;CGX;1941;1944;1990;1990;3;5;0;1;0;4;0;L50188;1941;1951;1999;x
Li Yannian;5005189;CGX;1924;1936;1990;1990;2;3;0;0;0;4;0;L50189;1924;1974;1999;x
Li Yutang;5005190;CGX;1931;1938;1990;1990;2;4;0;1;0;4;0;L50190;1931;1951;1999;x
Liang Jingzhai;5005191;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50191;1930;1970;1999;x
Liang Xixian;5005192;CGX;1927;1990;1990;1990;3;3;0;0;0;4;0;L50192;1927;1941;1999;x
Liao Lei;5005193;CGX;1927;1929;1990;1990;2;5;513;1;0;4;0;L50193;1927;1939;1999;x
Liao Lingqi;5005194;CGX;1930;1939;1990;1990;3;4;0;1;0;4;0;L50194;1930;1941;1999;x
Liao Yaoxiang;5005195;CGX;1940;1944;1990;1990;3;6;6;1;0;4;0;L50195;1940;1968;1999;x
Liao Yunzhou;5005196;CGX;1932;1990;1990;1990;3;3;0;0;0;2;0;L50196;1932;1948;1999;x
Liao Yunze;5005197;CGX;1928;1938;1942;1990;2;5;0;2;0;4;0;L50197;1928;1952;1999;x
Lin Wei;5005198;CGX;1926;1990;1990;1990;3;5;34;0;0;4;0;L50198;1926;1955;1999;x
Liu Anqi;5005199;CGX;1937;1944;1949;1961;0;6;4;1;0;4;0;L50199;1937;1995;1999;x
Liu Zhaoli;5005200;CGX;1937;1942;1990;1990;2;4;0;1;0;4;0;L50200;1937;1962;1999;x
Liu Zhendong;5005201;CGX;1935;1990;1990;1990;3;3;0;0;0;4;0;L50201;1935;1938;1999;x
Liu Jiaqi;5005202;CGX;1931;1990;1990;1990;3;3;0;0;0;4;0;L50202;1931;1938;1999;x
Liu Jiashu;5005203;CGX;1939;1943;1990;1990;2;3;0;0;0;4;0;L50203;1939;1972;1999;x
Liu Jianxu;5005204;CGX;1926;1928;1941;1990;1;4;0;1;0;4;0;L50204;1926;1978;1999;x
Liu Zhi;5005205;CGX;1922;1927;1936;1990;1;6;513;1;0;4;0;L50205;1922;1971;1999;x
Liu Heding;5005206;CGX;1930;1935;1990;1990;2;3;0;0;0;4;0;L50206;1930;1969;1999;x
Liu Xiang;5005207;CGX;1921;1926;1935;1990;1;5;514;1;0;3;0;L50207;1921;1938;1999;x
Liu Xing;5005208;CGX;1923;1929;1990;1990;2;3;0;0;0;4;0;L50208;1923;1963;1999;x
Liu Ruming;5005209;CGX;1935;1937;1990;1990;2;5;8;2;0;3;0;L50209;1935;1975;1999;x
Liu Kan;5005210;CGX;1933;1938;1944;1990;1;4;0;1;0;4;0;L50210;1933;1948;1999;x
Liu Guangji;5005211;CGX;1939;1990;1990;1990;3;4;0;0;0;4;0;L50211;1939;1973;1999;x
Liu Guiwu;5005212;CGX;1935;1990;1990;1990;3;3;0;0;0;4;0;L50212;1935;1938;1999;x
Liu Lianyi;5005213;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50213;1938;1946;1999;x
Liu Mao'en;5005214;CGX;1937;1940;1990;1990;2;4;0;1;0;4;0;L50214;1937;1981;1999;x
Liu Shiyi;5005215;CGX;1920;1926;1937;1990;1;3;0;0;0;4;0;L50215;1920;1982;1999;x
Liu Duoquan;5005216;CGX;1932;1936;1990;1990;2;3;0;0;0;4;0;L50216;1932;1985;1999;x
Liu Wei;5005217;CGX;1942;1945;1990;1990;2;4;256;1;0;4;0;L50217;1942;1969;1999;x
Liu Wenhui;5005218;CGX;1930;1938;1990;1990;2;4;2;1;0;2;0;L50218;1930;1976;1999;x
Luo Zhuoying;5005219;CGX;1928;1938;1990;1990;2;4;2;1;0;4;0;L50219;1928;1961;1999;x
Luo Guangwen;5005220;CGX;1938;1943;1990;1990;2;3;10;0;0;3;0;L50220;1938;1956;1999;x
Luo Lie;5005221;CGX;1945;1948;1950;1990;1;4;0;0;0;4;0;L50221;1945;1976;1999;x
Luo Lirong;5005222;CGX;1928;1999;1999;1999;3;3;0;0;0;4;0;L50222;1928;1991;1999;x
Luo Shuren;5005223;CGX;1930;1990;1990;1990;3;3;128;0;0;4;0;L50223;1930;1942;1999;x
Lobsang Tsewang;5005224;CGX;1944;1990;1990;1990;3;3;0;0;0;4;0;L50224;1944;1970;1999;x
Lь Zhanmeng;5005225;CGX;1937;1990;1990;1990;3;3;128;0;0;4;0;L50225;1937;1944;1999;x
Lu Junquan;5005226;CGX;1939;1945;1990;1990;2;3;0;0;0;4;0;L50226;1939;1979;1999;x
Lu Zhonglin;5005227;CGX;1930;1930;1938;1990;1;4;1;0;0;4;0;L50227;1930;1970;1999;x
Lu Han;5005228;CGX;1925;1927;1990;1990;2;3;2;0;0;3;0;L50228;1925;1974;1999;x
Lu Guangwei;5005229;CGX;1939;1941;1990;1990;2;4;0;1;0;4;0;L50229;1939;1944;1999;x
Lu Daoyuan;5005230;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50230;1937;1985;1999;x
Long Tianwu;5005231;CGX;1928;1990;1990;1990;3;3;0;0;0;4;0;L50231;1928;1983;1999;x
Long Yun;5005232;CGX;1925;1927;1928;1990;1;4;16;1;0;2;0;L50232;1925;1962;1999;x
Ma Zhanshan;5005233;CGX;1935;1944;1990;1990;2;5;24;1;0;4;0;L50233;1935;1948;1999;x
Ma Chongliu;5005234;CGX;1940;1943;1990;1990;2;5;32;1;0;4;0;L50234;1940;1998;1999;x
Ma Hongkui;5005235;CGX;1937;1939;1941;1990;1;5;1;2;0;2;0;L50235;1937;1970;1999;x
Ma Hongbin;5005236;CGX;1916;1920;1990;1990;2;3;0;0;0;2;0;L50236;1916;1960;1999;x
Ma Bufang;5005237;CGX;1928;1930;1990;1990;2;3;0;0;0;2;0;L50237;1928;1975;1999;x
Ma Shigong;5005238;CGX;1939;1990;1990;1990;3;3;0;0;0;4;0;L50238;1939;1970;1999;x
Ma Ying;5005239;CGX;1941;1943;1990;1990;3;4;0;1;0;4;0;L50239;1941;1970;1999;x
