#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_3182056_NAME;Second New Deal;Second New Deal;Second New Deal;Second New Deal;Der 'Second New Deal';Second New Deal;Second New Deal;Second New Deal;;;x
EVT_3182009_NAME;Dominican Republic-Haiti Crisis;Dominican Republic-Haiti Crisis;Dominican Republic-Haiti Crisis;Dominican Republic-Haiti Crisis;Die Krise zwischen Haiti und der dominikanischen Republik;Dominican Republic-Haiti Crisis;Dominican Republic-Haiti Crisis;Dominican Republic-Haiti Crisis;;;x
EVT_3182009_DESC;Under the brutal rule of Trujillo, almost all progress the administration before was erased. Now rumours began to trickle in that Trujillo was killing Haitians by the thousands. Haiti was prepared for a war. But the USA wanted to negotiate peace between the two.;Under the brutal rule of Trujillo, almost all progress the administration before was erased. Now rumours began to trickle in that Trujillo was killing Haitians by the thousands. Haiti was prepared for a war. But the USA wanted to negotiate peace between the two.;Under the brutal rule of Trujillo, almost all progress the administration before was erased. Now rumours began to trickle in that Trujillo was killing Haitians by the thousands. Haiti was prepared for a war. But the USA wanted to negotiate peace between the two.;Under the brutal rule of Trujillo, almost all progress the administration before was erased. Now rumours began to trickle in that Trujillo was killing Haitians by the thousands. Haiti was prepared for a war. But the USA wanted to negotiate peace between the two.;Unter dem brutalen Regime Trujillo wurden fast alle Fortschritte, die die vorangegangene Regierung erzielen konnte, zunichte gemacht. Gerьchten zufolge lдsst Trujillo die Haitianer zu tausenden hinrichten. Haiti bereitet sich derweil auf einen Krieg vor, wдhrend die Vereinigten Staaten eine Lцsung auf dem Verhandlungswege herbeifьhren wollen.;Under the brutal rule of Trujillo, almost all progress the administration before was erased. Now rumours began to trickle in that Trujillo was killing Haitians by the thousands. Haiti was prepared for a war. But the USA wanted to negotiate peace between the two.;Under the brutal rule of Trujillo, almost all progress the administration before was erased. Now rumours began to trickle in that Trujillo was killing Haitians by the thousands. Haiti was prepared for a war. But the USA wanted to negotiate peace between the two.;Under the brutal rule of Trujillo, almost all progress the administration before was erased. Now rumours began to trickle in that Trujillo was killing Haitians by the thousands. Haiti was prepared for a war. But the USA wanted to negotiate peace between the two.;;;x
ACTIONNAME3182009A;Settle the dispute;Settle the dispute;Settle the dispute;Settle the dispute;Wir legen die Krise bei;Settle the dispute;Settle the dispute;Settle the dispute;;;x
ACTIONNAME3182009B;Do not interfere;Do not interfere;Do not interfere;Do not interfere;Wir greifen nicht ein;Do not interfere;Do not interfere;Do not interfere;;;x
EVT_3119005_DESC;Tsar Boris III (1884-1943) was an important figure during the World Wars. Historically he followed Germany, mainly to regain territory lost in the Treaty of Neuilly. He did however manage to save the Bulgarian Jewish population and never declared war on the USSR. When Hitler summoned Boris to Germany it was agreed he would declare war on the USA and the UK, but not the USSR. Shortly after his return to Sofia, he died of an apparent heart failure, though many in Bulgaria felt it was a Nazi conspiracy to put a more pro-Nazi government in power. He was succeeded by his infant son Simeon II.;;Tsar Boris III (1884-1943) was an important figure during the World Wars. Historically he followed Germany, mainly to regain territory lost in the Treaty of Neuilly. He did however manage to save the Bulgarian Jewish population and never declared war on the USSR. When Hitler summoned Boris to Germany it was agreed he would declare war on the USA and the UK, but not the USSR. Shortly after his return to Sofia, he died of an apparent heart failure, though many in Bulgaria felt it was a Nazi conspiracy to put a more pro-Nazi government in power. He was succeeded by his infant son Simeon II.;;Zar Boris III ( 1884 - 1943 ) war eine wichtige Figur wдhrend der beiden Weltkriege. Historisch gesehen suchte er die Nдhe des deutschen Reiches, um die im Vertrag von Neuilly verlorenen Gebiete zurьckzugewinnen, andererseits rettete er jedoch die Juden in seinem Lande und erklдrte der Sowjetunion niemals den Krieg. Als Hitler Zar Boris nach Berlin bat, kam man schnell zu der Ьbereinkunft, daЯ Bulgarien zwar den USA und dem britischen Empire, nicht aber den Sowjets den Krieg erklдren wьrde. Kurz nach seiner Rьckkehr nach Sofia starb er offenbar an einem Herzversagen, auch wenn viele Bulgaren eine nationalsozialistische Verschwцrung witterten, die eine pro deutsche Regierung an die Macht bringen sollte. Zar Boris III Nachfolger wurde sein Sohn Simeon II.;;;;;;x
EVT_2025_NAME;Attempted assasination of Hitler;Attempted assasination of Hitler;Attempted assasination of Hitler;Attempted assasination of Hitler;Attempted assasination of Hitler;Attempted assasination of Hitler;;;;;x
EVT_2025_DESC;Radio Transmission from Berlin: Last night an attempt was made on the life of the Reichskanzler of Germany by unknown assailants. The Fuhrer is now recovering from sharpnel wounds. End of Transmission.;Radio Transmission from Berlin: Last night an attempt was made on the life of the Reichskanzler of Germany by unknown assailants. The Fuhrer is now recovering from sharpnel wounds. End of Transmission.;Radio Transmission from Berlin: Last night an attempt was made on the life of the Reichskanzler of Germany by unknown assailants. The Fuhrer is now recovering from sharpnel wounds. End of Transmission.;Radio Transmission from Berlin: Last night an attempt was made on the life of the Reichskanzler of Germany by unknown assailants. The Fuhrer is now recovering from sharpnel wounds. End of Transmission.;Radio Transmission from Berlin: Last night an attempt was made on the life of the Reichskanzler of Germany by unknown assailants. The Fuhrer is now recovering from sharpnel wounds. End of Transmission.;Radio Transmission from Berlin: Last night an attempt was made on the life of the Reichskanzler of Germany by unknown assailants. The Fuhrer is now recovering from sharpnel wounds. End of Transmission.;;;;;x
EVT_172068_DESC;The director Leni Riefenstahl was famous for her documentary on the 1934 Fascist Party convention in Nuremberg, called Triumph of the Will. It was chosen as best film in the 1930s at both the Venice Film Festival and the Paris World Fair. In 1938, Leni Riefenstahl finished her latest project, a two part film named 'Olympia' on the Olympic Games in Berlin 1936. They were 'Olympia I - The Festival of the People' and 'Olympia II - The Festival of Beauty'. Many cameras and much equipment were needed to make the films. During the making, filming techniques and camera equipment developed rapidly. The films served as propaganda, as they focused on the German athletes as rolemodels for the fascist physical ideal.;;;;Die deutsche Regisseurin Leni Riefenstahl wurde berьhmt wegen ihrer Dokumentation ьber den Nьrnberger Parteitag der NSDAP 1934, der unter dem Motto 'Triumph des Willens' stand. Dieser Film wurde auf den Filmfestspielen in Venedig und Paris als der beste Film der dreissiger Jahre gekьrt. 1938 beendete Leni Riefenstahl ihr neuestes Projekt, eine zweiteilige Dokumentation der olympischen Spiele von 1936. Der erste Teil trug den Titel 'Olympia I, Fest der Vцlker' und der zweite 'Olympia II, Fest der Schцnheit'. Fьr die Filme wurden etliche Spezialkameras und anderes Equipment benцtigt, andererseits machte die Film - und Kameratechnik enorme Fortschritte. Beide Filme dienten als Propaganda und konzentrierten sich auf die deutschen Athleten als typische Vertreter des nationalsozialistischen Schцnheitsideals.;;;;;;x
EVT_3136130_NAME;Leni Riefenstahl, Nazi film director;Leni Riefenstahl, Nazi film director;Leni Riefenstahl, Nazi film director;Leni Riefenstahl, Nazi film director;Leni Riefenstahl, Regisseurin;Leni Riefenstahl, Nazi film director;Leni Riefenstahl, Nazi film director;Leni Riefenstahl, Nazi film director;;;X
ACTIONNAME3136130A;Her films make splendid propaganda;Her films make splendid propaganda;Her films make splendid propaganda;Her films make splendid propaganda;Ihre Filme sind hervorragende Propaganda;Her films make splendid propaganda;Her films make splendid propaganda;Her films make splendid propaganda;;;X
EVT_3136131_NAME;The Autobahn is opened to the public;The Autobahn is opened to the public;The Autobahn is opened to the public;The Autobahn is opened to the public;Die Autobahn;The Autobahn is opened to the public;The Autobahn is opened to the public;The Autobahn is opened to the public;;;X
EVT_3136131_DESC;In 1939, another part of the German Reichsautobahn was completed. Kцnigsberg and Elbing were added to the destinations that could be reached easily on the network of 3000 kilometers of high-speed roads. All in all, 130,000 men were working on construction of the Autobahn road system.;In 1939, another part of the German Reichsautobahn was completed. Kцnigsberg and Elbing were added to the destinations that could be reached easily on the network of 3000 kilometers of high-speed roads. All in all, 130,000 men were working on construction of the Autobahn road system.;In 1939, another part of the German Reichsautobahn was completed. Kцnigsberg and Elbing were added to the destinations that could be reached easily on the network of 3000 kilometers of high-speed roads. All in all, 130,000 men were working on construction of the Autobahn road system.;In 1939, another part of the German Reichsautobahn was completed. Kцnigsberg and Elbing were added to the destinations that could be reached easily on the network of 3000 kilometers of high-speed roads. All in all, 130,000 men were working on construction of the Autobahn road system.;Im Jahre 1939 wurde ein weiterer Teil der Reichsautobahn fertiggestellt. Nun haben auch Kцnigsberg und Elbing Anschluss an das mittlerweile 3.000 Kilometer lange Hochgeschwindigkeits - Strassennetz. Alles in allem waren ungefдhr 130.000 Arbeiter am Bau beteiligt.;In 1939, another part of the German Reichsautobahn was completed. Kцnigsberg and Elbing were added to the destinations that could be reached easily on the network of 3000 kilometers of high-speed roads. All in all, 130,000 men were working on construction of the Autobahn road system.;In 1939, another part of the German Reichsautobahn was completed. Kцnigsberg and Elbing were added to the destinations that could be reached easily on the network of 3000 kilometers of high-speed roads. All in all, 130,000 men were working on construction of the Autobahn road system.;In 1939, another part of the German Reichsautobahn was completed. Kцnigsberg and Elbing were added to the destinations that could be reached easily on the network of 3000 kilometers of high-speed roads. All in all, 130,000 men were working on construction of the Autobahn road system.;;;X
ACTIONNAME3136131A;This will increase infrastructure nicely;This will increase infrastructure nicely;This will increase infrastructure nicely;This will increase infrastructure nicely;Sehr gut;This will increase infrastructure nicely;This will increase infrastructure nicely;This will increase infrastructure nicely;;;X
EVT_3136132_NAME;Transport for the Masses;Transport for the Masses;Transport for the Masses;Transport for the Masses;Die Mobilisierung der Massen;Transport for the Masses;Transport for the Masses;Transport for the Masses;;;X
ACTIONNAME3136132A;Issue the coupons to the German workers;Issue the coupons to the German workers;Issue the coupons to the German workers;Issue the coupons to the German workers;Wir geben die Coupons aus;Issue the coupons to the German workers;Issue the coupons to the German workers;Issue the coupons to the German workers;;;X
ACTIONNAME3136132B;Do not issue the coupons, we can not afford it;Do not issue the coupons, we can not afford it;Do not issue the coupons, we can not afford it;Do not issue the coupons, we can not afford it;Wir kцnnen uns das nicht leisten;Do not issue the coupons, we can not afford it;Do not issue the coupons, we can not afford it;Do not issue the coupons, we can not afford it;;;X
EVT_3136133_NAME;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen fьr die Massen;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;;;X
EVT_3136133_DESC;In 1938, the German government promised the working class access to cheap automobiles if they bought special coupons. They had the option of honoring the agreement and providing new Volkswagen cars to German workers, or to use the money to finance the motorization of some Wehrmacht forces.;In 1938, the German government promised the working class access to cheap automobiles if they bought special coupons. They had the option of honoring the agreement and providing new Volkswagen cars to German workers, or to use the money to finance the motorization of some Wehrmacht forces.;In 1938, the German government promised the working class access to cheap automobiles if they bought special coupons. They had the option of honoring the agreement and providing new Volkswagen cars to German workers, or to use the money to finance the motorization of some Wehrmacht forces.;In 1938, the German government promised the working class access to cheap automobiles if they bought special coupons. They had the option of honoring the agreement and providing new Volkswagen cars to German workers, or to use the money to finance the motorization of some Wehrmacht forces.;Im Jahre 1938 versprach die Regierung des deutschen Reiches, daЯ jeder Arbeiter die Mцglichkeit haben werde, in den Besitz eines Automobils zu gelangen. Zu diesem Zweck konnten sie spezielle Coupons kaufen und spдter gegen einen Volkswagen eintauschen. Die Regierung hat nun die Wahl, dieses Versprechen einzulцsen oder das mit den Coupons eingenommene Geld zu benutzen, einige Teile der Wehrmacht zu motorisieren.;In 1938, the German government promised the working class access to cheap automobiles if they bought special coupons. They had the option of honoring the agreement and providing new Volkswagen cars to German workers, or to use the money to finance the motorization of some Wehrmacht forces.;In 1938, the German government promised the working class access to cheap automobiles if they bought special coupons. They had the option of honoring the agreement and providing new Volkswagen cars to German workers, or to use the money to finance the motorization of some Wehrmacht forces.;In 1938, the German government promised the working class access to cheap automobiles if they bought special coupons. They had the option of honoring the agreement and providing new Volkswagen cars to German workers, or to use the money to finance the motorization of some Wehrmacht forces.;;;X
ACTIONNAME3136133A;Motorize the Wehrmacht;Motorize the Wehrmacht;Motorize the Wehrmacht;Motorize the Wehrmacht;Wir motorisieren die Wehrmacht;Motorize the Wehrmacht;Motorize the Wehrmacht;Motorize the Wehrmacht;;;X
ACTIONNAME3136133B;Motorize the workers;Motorize the workers;Motorize the workers;Motorize the workers;Wir mobilisieren die Massen;Motorize the workers;Motorize the workers;Motorize the workers;;;X
EVT_3136134_NAME;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen fьr die Massen;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;Volkswagen deliveries to the Masses;;;X
EVT_3136172_NAME;The Four Year Plan;The Four Year Plan;The Four Year Plan;The Four Year Plan;Der Vier-Jahres Plan;The Four Year Plan;The Four Year Plan;The Four Year Plan;;;x
EVT_3136172_DESC;Hitler wanted to improve the economy enough to survive the war. The Four Year Plan favoured both the protection of agriculture and economic independence. To achieve these, Germany needed to put forth an aggressive expansionist policy in order to reduce reliance on raw materials. Hermann Goering was put in charge of the Four Year Plan on October 18, 1936 and was given extraordinary powers for an extraordinary situation. In short, Goering had complete control over the economy including the private sector.;Hitler wanted to improve the economy enough to survive the war. The Four Year Plan favoured both the protection of agriculture and economic independence. To achieve these, Germany needed to put forth an aggressive expansionist policy in order to reduce reliance on raw materials. Hermann Goering was put in charge of the Four Year Plan on October 18, 1936 and was given extraordinary powers for an extraordinary situation. In short, Goering had complete control over the economy including the private sector.;Hitler wanted to improve the economy enough to survive the war. The Four Year Plan favoured both the protection of agriculture and economic independence. To achieve these, Germany needed to put forth an aggressive expansionist policy in order to reduce reliance on raw materials. Hermann Goering was put in charge of the Four Year Plan on October 18, 1936 and was given extraordinary powers for an extraordinary situation. In short, Goering had complete control over the economy including the private sector.;Hitler wanted to improve the economy enough to survive the war. The Four Year Plan favoured both the protection of agriculture and economic independence. To achieve these, Germany needed to put forth an aggressive expansionist policy in order to reduce reliance on raw materials. Hermann Goering was put in charge of the Four Year Plan on October 18, 1936 and was given extraordinary powers for an extraordinary situation. In short, Goering had complete control over the economy including the private sector.;Reichskanzler Hitler wollte die deutsche Wirtschaft stдrken, um seinen Krieg fьhren zu kцnnen. Der Vier-Jahres Plan sollte die Unabhдngigkeit des deutschen Reiches sowohl mit Blick auf die landwirtschaftliche als auch die industrielle Produktion gewдhrleisten. Aus diesem Grund musste das Reich seine aggressive expansionistische Politik fortsetzen, um sich auslдndische Rohstoffquellen zu erschliessen. Am 18. Oktober 1936 wurde der gesamte industrielle Bereich, inklusive der Privatwirtschaft, Gцrings Verantwortung unterstellt.;Hitler wanted to improve the economy enough to survive the war. The Four Year Plan favoured both the protection of agriculture and economic independence. To achieve these, Germany needed to put forth an aggressive expansionist policy in order to reduce reliance on raw materials. Hermann Goering was put in charge of the Four Year Plan on October 18, 1936 and was given extraordinary powers for an extraordinary situation. In short, Goering had complete control over the economy including the private sector.;Hitler wanted to improve the economy enough to survive the war. The Four Year Plan favoured both the protection of agriculture and economic independence. To achieve these, Germany needed to put forth an aggressive expansionist policy in order to reduce reliance on raw materials. Hermann Goering was put in charge of the Four Year Plan on October 18, 1936 and was given extraordinary powers for an extraordinary situation. In short, Goering had complete control over the economy including the private sector.;Hitler wanted to improve the economy enough to survive the war. The Four Year Plan favoured both the protection of agriculture and economic independence. To achieve these, Germany needed to put forth an aggressive expansionist policy in order to reduce reliance on raw materials. Hermann Goering was put in charge of the Four Year Plan on October 18, 1936 and was given extraordinary powers for an extraordinary situation. In short, Goering had complete control over the economy including the private sector.;;;x
ACTIONNAME3136172A;Approve plans for current year;Approve plans for current year;Approve plans for current year;Approve plans for current year;Den Plan auch dieses Jahr fortfьhren;Wir bleiben bei unserer Planung;Approve plans for current year;Approve plans for current year;;;x
ACTIONNAME3136172B;Refuse plans for current year;Refuse plans for current year;Refuse plans for current year;Refuse plans for current year;Den Plan dieses Jahr aussetzen;Dieses Jahr nicht;Refuse plans for current year;Refuse plans for current year;;;x
EVT_3124001_NAME;Little Reinforce for the Colombian Army;Little Reinforce for the Colombian Army;Little Reinforce for the Colombian Army;Little Reinforce for the Colombian Army;Eine kleine Verstдrkung unserer Armee;Little Reinforce for the Colombian Army;Little Reinforce for the Colombian Army;Little Reinforce for the Colombian Army;;;X
EVT_3124001_DESC;Columbia Government thinks about little Army reinforce.;;;;Die Regierung Kolumbiens denkt ьber eine Verstдrkung ihrer Armee nach.;;;;;;x
EVT_602004_NAME;The creation of the Confederation of Mexican Workers (CTM);The creation of the Confederation of Mexican Workers (CTM);The creation of the Confederation of Mexican Workers (CTM);The creation of the Confederation of Mexican Workers (CTM);Die Grьndung der mexikanischen Arbeitergewerkschaft CTM ;The creation of the Confederation of Mexican Workers (CTM);The creation of the Confederation of Mexican Workers (CTM);The creation of the Confederation of Mexican Workers (CTM);;;X
EVT_602004_DESC;The existing unionist confederation in Mexico, called the Confederacion Regional de Obreros Mexicanos (Regional Confederation of Mexican Workers (CROM)), was corrupt and mistrusted. Lombardo Toledano, with support of Cardenas and the left-wing movement in Mexico, managed to unite several unions into the Confederacion de Trabajadores de Mexico (Confederation of Mexican Workers (CTM)). This soon became the largest labor movement in Mexico and provided the state with a strong, centralized control over Mexican laborers.;The existing unionist confederation in Mexico, called the Confederacion Regional de Obreros Mexicanos (Regional Confederation of Mexican Workers (CROM)), was corrupt and mistrusted. Lombardo Toledano, with support of Cardenas and the left-wing movement in Mexico, managed to unite several unions into the Confederacion de Trabajadores de Mexico (Confederation of Mexican Workers (CTM)). This soon became the largest labor movement in Mexico and provided the state with a strong, centralized control over Mexican laborers.;The existing unionist confederation in Mexico, called the Confederacion Regional de Obreros Mexicanos (Regional Confederation of Mexican Workers (CROM)), was corrupt and mistrusted. Lombardo Toledano, with support of Cardenas and the left-wing movement in Mexico, managed to unite several unions into the Confederacion de Trabajadores de Mexico (Confederation of Mexican Workers (CTM)). This soon became the largest labor movement in Mexico and provided the state with a strong, centralized control over Mexican laborers.;The existing unionist confederation in Mexico, called the Confederacion Regional de Obreros Mexicanos (Regional Confederation of Mexican Workers (CROM)), was corrupt and mistrusted. Lombardo Toledano, with support of Cardenas and the left-wing movement in Mexico, managed to unite several unions into the Confederacion de Trabajadores de Mexico (Confederation of Mexican Workers (CTM)). This soon became the largest labor movement in Mexico and provided the state with a strong, centralized control over Mexican laborers.;Die bereits existierende gewerkschaftsдhnliche Arbeitervereingung ( Confederacion Regional de Obreros Mexicanos oder kurz CROM ) war korrupt und besass wenig Ansehen. Lombardo Toledano gelang es dann, mit Unterstьtzung Cardenas' und linksorientierten politischen Gruppierungen, aus mehreren kleinen Gewerkschaften die Confederacion de Trabajadores de Mexico ( kurz CTM ) zu bilden. Die CTM wurde somit innerhalb kurzer Zeit die bedeutendste und mitgliederstдrkste Vertretung der mexikanischen Arbeiterschaft und verschaffte dem Staat damit Mцglichkeiten zur Kontrolle der Arbeiterschicht.;The existing unionist confederation in Mexico, called the Confederacion Regional de Obreros Mexicanos (Regional Confederation of Mexican Workers (CROM)), was corrupt and mistrusted. Lombardo Toledano, with support of Cardenas and the left-wing movement in Mexico, managed to unite several unions into the Confederacion de Trabajadores de Mexico (Confederation of Mexican Workers (CTM)). This soon became the largest labor movement in Mexico and provided the state with a strong, centralized control over Mexican laborers.;The existing unionist confederation in Mexico, called the Confederacion Regional de Obreros Mexicanos (Regional Confederation of Mexican Workers (CROM)), was corrupt and mistrusted. Lombardo Toledano, with support of Cardenas and the left-wing movement in Mexico, managed to unite several unions into the Confederacion de Trabajadores de Mexico (Confederation of Mexican Workers (CTM)). This soon became the largest labor movement in Mexico and provided the state with a strong, centralized control over Mexican laborers.;The existing unionist confederation in Mexico, called the Confederacion Regional de Obreros Mexicanos (Regional Confederation of Mexican Workers (CROM)), was corrupt and mistrusted. Lombardo Toledano, with support of Cardenas and the left-wing movement in Mexico, managed to unite several unions into the Confederacion de Trabajadores de Mexico (Confederation of Mexican Workers (CTM)). This soon became the largest labor movement in Mexico and provided the state with a strong, centralized control over Mexican laborers.;;;X
ACTIONNAME602004A;We must unite the workers;We must unite the workers;We must unite the workers;We must unite the workers;Wir mьssen die Arbeiter organisieren;We must unite the workers;We must unite the workers;We must unite the workers;;;X
ACTIONNAME602004B;Do not support the confederation;Do not support the confederation;Do not support the confederation;Do not support the confederation;Wir sind gegen diese Gewerkschaft;Do not support the confederation;Do not support the confederation;Do not support the confederation;;;X
EVT_602005_NAME;Cardenas deals with Calles, his only rival for power;Cardenas deals with Calles, his only rival for power;Cardenas deals with Calles, his only rival for power;Cardenas deals with Calles, his only rival for power;Cardenas schaltet seinen Rivalen Calles aus;Cardenas deals with Calles, his only rival for power;Cardenas deals with Calles, his only rival for power;Cardenas deals with Calles, his only rival for power;;;X
EVT_602005_DESC;To pre-empt a coup by Calles, Cardenas sent a party of twenty soldiers and eight police to Calles hacienda. There they discovered Calles in bed with the flu, reading a Spanish translation of Hitlers Mein Kampf. More merciful than many previous revolutionaries, Cardenas contended himself with deporting Calles to the United States.;To pre-empt a coup by Calles, Cardenas sent a party of twenty soldiers and eight police to Calles hacienda. There they discovered Calles in bed with the flu, reading a Spanish translation of Hitlers Mein Kampf. More merciful than many previous revolutionaries, Cardenas contended himself with deporting Calles to the United States.;To pre-empt a coup by Calles, Cardenas sent a party of twenty soldiers and eight police to Calles hacienda. There they discovered Calles in bed with the flu, reading a Spanish translation of Hitlers Mein Kampf. More merciful than many previous revolutionaries, Cardenas contended himself with deporting Calles to the United States.;To pre-empt a coup by Calles, Cardenas sent a party of twenty soldiers and eight police to Calles hacienda. There they discovered Calles in bed with the flu, reading a Spanish translation of Hitlers Mein Kampf. More merciful than many previous revolutionaries, Cardenas contended himself with deporting Calles to the United States.;Um einem Umsturzversuch Calles' zuvorzukommen, sandte Cardenas einen Trupp von 20 Soldaten und 8 Polizisten zu Calles' Hacienda. Sie fanden den Hausherren grippekrank im Bett vor, die spanische Ьbersetzung von 'Mein Kampf' lesend. Deutlich gnдdiger als gegenьber anderen Revolutionдren begnьgte sich Cardenas in diesem Fall damit, Calles in die vereinigten Staaten abzuschieben.;To pre-empt a coup by Calles, Cardenas sent a party of twenty soldiers and eight police to Calles hacienda. There they discovered Calles in bed with the flu, reading a Spanish translation of Hitlers Mein Kampf. More merciful than many previous revolutionaries, Cardenas contended himself with deporting Calles to the United States.;To pre-empt a coup by Calles, Cardenas sent a party of twenty soldiers and eight police to Calles hacienda. There they discovered Calles in bed with the flu, reading a Spanish translation of Hitlers Mein Kampf. More merciful than many previous revolutionaries, Cardenas contended himself with deporting Calles to the United States.;To pre-empt a coup by Calles, Cardenas sent a party of twenty soldiers and eight police to Calles hacienda. There they discovered Calles in bed with the flu, reading a Spanish translation of Hitlers Mein Kampf. More merciful than many previous revolutionaries, Cardenas contended himself with deporting Calles to the United States.;;;X
ACTIONNAME602005A;We will not tolerate this rebel, deport him;We will not tolerate this rebel, deport him;We will not tolerate this rebel, deport him;We will not tolerate this rebel, deport him;Wir dulden diesen Rebellen nicht. Deportation;We will not tolerate this rebel, deport him;We will not tolerate this rebel, deport him;We will not tolerate this rebel, deport him;;;X
EVT_602006_NAME;The Conservatives rally for Calles;The Conservatives rally for Calles;The Conservatives rally for Calles;The Conservatives rally for Calles;Die Konservativen sammeln sich um Calles;The Conservatives rally for Calles;The Conservatives rally for Calles;The Conservatives rally for Calles;;;X
