CGX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
5025311;Head of Military Intelligence;Chen Jiongming;1909;1922;1933;PA;Dismal Enigma;Very High;9515;X
5025312;Head of Military Intelligence;Jiang Jieshi;1912;1976;1976;PA;Logistics Specialist;High;9516;X
5025313;Foreign Minister;Wu Chaoshu;1913;1935;1935;SC;Apologetic Clerk;High;9517;X
5025314;Minister of Armament;Liao Zhongkai;1905;1926;1926;SC;Administrative Genius;Medium;9518;X
5025315;Minister of Security;Chen Jiongming;1909;1922;1933;PA;Prince of Terror;Medium;9515;X
5025316;Chief of Army;Xu Shaozhen;1904;1926;1926;SC;Static Defence Doctrine;High;9519;X
5025317;Chief of Staff;Chen Jiongming;1909;1922;1933;PA;School of Manoeuvre;High;9515;X
5025318;Head of State;Hu Hanmin;1907;1934;1937;SC;Weary Stiffneck;High;9512;X
5025319;Head of Government;Hu Hanmin;1907;1934;1937;SC;Political Protege;Very High;9512;X
5025320;Chief of Staff;Jiang Jieshi;1912;1976;1976;PA;School of Mass Combat;Medium;9516;X
5025321;Chief of Army;Jiang Jieshi;1912;1976;1976;PA;Decisive Battle Doctrine;Medium;9516;X
5025322;Head of Military Intelligence;Mikhail Borodin;1923;1928;1928;LWR;Dismal Enigma;Very High;9520;X
5025323;Head of State;Jiang Jieshi;1912;1976;1976;PA;Resigned Generalissimo;High;9516;X
5025324;Head of Government;Jiang Jieshi;1912;1976;1976;PA;Jiang_Jieshi_1;High;9516;X
5025325;Foreign Minister;Wu Tingfang;1896;1922;1922;SC;Biased Intellectual;High;9488;X
5025326;Head of Government;Wu Tingfang;1896;1922;1922;SC;Naive Optimist;High;9488;X
5025350;Head of State;Lu Rongting;1886;1925;1929;PA;Resigned Generalissimo;High;9544;X
5025351;Head of Government;Li Guoyun;1903;1925;1956;PA;Naive Optimist;High;9545;X
5025352;Foreign Minister;Lu Rongting;1886;1925;1929;PA;Biased Intellectual;High;9544;X
5025353;Minister of Armament;Chen Bingkun;1904;1925;1928;PA;Resource Industrialist;Medium;9546;X
5025354;Minister of Security;Zhu Qinglan;1893;1942;1942;PA;Man of the People;Medium;9547;X
5025355;Head of Military Intelligence;Zhu Qinglan;1893;1942;1942;PA;Political Specialist;Very High;9547;X
5025356;Chief of Staff;Lu Rongting;1886;1925;1929;PA;School of Mass Combat;Medium;9544;X
5025357;Chief of Army;Tan Haoming;1893;1925;1926;PA;Decisive Battle Doctrine;Medium;9549;X
5025358;Chief of Navy;Lin Baoyi;1894;1928;1931;PA;Decisive Naval Battle Doctrine;High;9550;X
5025359;Chief of Air Force;Lu Rongting;1886;1925;1929;PA;Army Aviation Doctrine;Medium;9544;X
5025360;Head of State;Chen Bingkun;1904;1925;1928;PA;Autocratic Charmer;High;9546;X
5025361;Head of State;Tan Haoming;1893;1925;1926;PA;Resigned Generalissimo;High;9549;X
5025362;Head of Government;Zhu Qinglan;1893;1942;1942;PA;Old General;High;9548;X
5025363;Foreign Minister;Zhu Qinglan;1893;1942;1942;PA;General Staffer;High;9548;X
5025364;Head of State;Cen Chenxuan;1918;1933;1933;PA;Cen Chenxuan;High;9552;X
5025365;Head of Government;Lu Rongting;1886;1925;1929;PA;Old General;High;9544;X
5025366;Head of State;Chen Jiongming;1909;1922;1933;PA;Weary Stiffneck;High;9515;X
5025367;Head of Government;Ma Junwu;1902;1925;1941;PA;Happy Amateur;High;9553;X
5025368;Minister of Armament;Wang Boqun;1920;1945;1945;PA;Air to Ground Proponent;Medium;9414;X
5025250;Head of State;Li Zongren;1910;1950;1966;PA;Resigned Generalissimo;High;620;X
5025251;Head of Government;Huang Shaohong;1924;1961;1961;PA;Silent Workhorse;High;9416;X
5025252;Foreign Minister;Li Zongren;1910;1950;1966;PA;Iron Fisted Brute;High;620;X
5025253;Minister of Armament;Yu Hanmou;1920;1962;1962;PA;Infantry Proponent;Medium;M502004;X
5025254;Head of Military Intelligence;Li Jishen;1944;1950;1951;ML;Dismal Enigma;Medium;2333;X
5025255;Chief of Staff;Li Jishen;1911;1950;1951;ML;School of Manoeuvre;Medium;2333;X
5025256;Chief of Staff;Bai Chongxi;1915;1959;1959;PA;School of Manoeuvre;High;M502007;X
5025257;Chief of Army;Chen Jitang;1908;1936;1955;PA;Guns and Butter Doctrine;Medium;M502008;X
5025258;Chief of Navy;Bai Chongxi;1915;1959;1959;PA;Indirect Approach Doctrine;High;M502007;X
5025259;Minister of Armament;Wang Shuming;1936;1970;1970;ML;Air to Sea Proponent;Medium;9422;X
5025260;Chief of Air Force;Wang Shuming;1936;1970;1970;ML;Vertical Envelopment Doctrine;Medium;9422;X
5025261;Head of State;Li Jishen;1911;1950;1951;ML;Weary Stiffneck;High;2333;X
5025262;Head of Government;Li Zongren;1910;1950;1966;PA;Flamboyant Tough Guy;High;620;X
5025263;Minister of Armament;Huang Shaohong;1924;1961;1961;PA;Keynesian economy;High;9416;X
5025264;Chief of Army;Huang Shaohong;1924;1961;1961;PA;Decisive Battle Doctrine;High;9416;X
5025400;Head of State;Wang Jingwei;1905;1936;1958;SD;Autocratic Charmer;High;M52041;X
5025401;Head of Government;Wang Jingwei;1905;1936;1958;SD;Naive Optimist;High;M52041;X
5025402;Foreign Minister;Chen Youren;1922;1935;1945;LWR;Iron Fisted Brute;High;9308;X
5025403;Minister of Armament;Song Ziwen;1917;1945;1970;SD;Administrative Genius;Medium;9235;X
5025404;Minister of Security;Tan Yankai;1907;1931;1931;SD;Man of the People;Medium;9528;X
5025405;Head of Military Intelligence;Zhou Fuhai;1927;1945;1945;SD;Logistics Specialist;High;unknownminister;X
5025406;Chief of Staff;Zhang Fakui;1927;1949;1949;SC;School of Manoeuvre;High;unknownminister;X
5025407;Chief of Army;Tang Shenghzi;1927;1949;1949;SC;Static Defence Doctrine;High;unknownminister;X
5025408;Minister of Security;Hu Hanmin;1907;1934;1937;SC;Man of the People;Medium;9512;X
5025409;Head of Military Intelligence;Hu Hanmin;1897;1934;1937;SC;Political Specialist;Very High;9512;X
5025410;Chief of Army;Xu Chongzhi;1906;1933;1951;SC;Decisive Battle Doctrine;Medium;9513;X
5025411;Chief of Air Force;Xu Chongzhi;1906;1933;1951;SC;Army Aviation Doctrine;Medium;9513;X
5025412;Head of Government;Sun Fo;1920;1971;1971;SD;Happy Amateur;High;9307;X
5025413;Minister of Armament;Sun Fo;1920;1971;1971;SD;Theoretical Scientist;High;9307;X
5025414;Minister of Security;Sun Fo;1920;1971;1971;SD;Man of the People;High;9307;X
5025415;Foreign Minister;Chen Youren;1922;1935;1945;LWR;Iron Fisted Brute;Low;9308;X
5025416;Minister of Armament;Zhu Jiahua;1919;1964;1964;LWR;Keynesian economy;Medium;9417;X
5025417;Minister of Security;Zhu Jiahua;1919;1964;1964;LWR;Crime Fighter;Medium;9417;X
5025418;Minister of Armament;Gu Mengyu;1926;1964;1964;SD;Construction Magnate;Medium;9418;X
5025419;Minister of Armament;Chen Gongbo;1926;1947;1968;LWR;Keynesian economy;Medium;M52014;X
5025420;Chief of Navy;Li Zhilong;1921;1927;1963;LWR;Power Projection Doctrine;Very High;9439;X
5025001;Head of State;Jiang Jieshi;1912;1976;1976;PA;Resigned Generalissimo;Undying;9516;X
5025002;Head of Government;Tan Yankai;1907;1971;1971;SD;Naive Optimist;High;9528;X
5025003;Foreign Minister;Wang Zhengting;1911;1933;1958;SC;Apologetic Clerk;High;3391;X
5025004;Minister of Armament;Song Ziwen;1917;1945;1970;SC;Administrative Genius;Medium;9235;X
5025005;Head of Military Intelligence;Feng Yuxiang;1911;1945;1949;SD;Logistics Specialist;High;9303;X
5025006;Chief of Staff;Feng Yuxiang;1911;1945;1949;SD;School of Manoeuvre;High;9303;X
5025007;Chief of Army;Feng Yuxiang;1911;1945;1949;SD;Guns and Butter Doctrine;Medium;9303;X
5025008;Chief of Navy;Yang Shuzhuang;1903;1934;1935;PA;Open Seas Doctrine;Medium;9304;X
5025009;Head of Government;Jiang Jieshi;1912;1976;1976;PA;Jiang_Jieshi_1;High;9516;X
5025010;Minister of Security;Liu Shangqing;1911;1944;1944;PA;Prince of Terror;Medium;9305;X
5025011;Minister of Armament;Liu Shangqing;1911;1944;1944;PA;Military Entrepreneur;Medium;9305;X
5025012;Head of Military Intelligence;He Yingqin;1911;1956;1956;FA;Technical Specialist;High;9306;X
5025013;Chief of Staff;He Yingqin;1911;1956;1956;FA;School of Psychology;High;9306;X
5025014;Chief of Army;He Yingqin;1911;1956;1956;FA;Decisive Battle Doctrine;High;9306;X
5025015;Head of Government;Sun Fo;1920;1971;1971;SD;Happy Amateur;High;9307;X
5025016;Minister of Armament;Sun Fo;1920;1971;1971;SD;Theoretical Scientist;High;9307;X
5025017;Minister of Security;Sun Fo;1920;1971;1971;SD;Man of the People;High;9307;X
5025018;Minister of Armament;Huang Hanliang;1930;1933;1969;SC;Resource Industrialist;Low;9309;X
5025019;Chief of Navy;Chen Shaokuan;1909;1955;1955;PA;Decisive Naval Battle Doctrine;High;9443;X
5025020;Head of Government;Wang Jingwei;1905;1936;1958;FA;Backroom Backstabber;Low;M52041;X
5025021;Foreign Minister;Wang Jingwei;1905;1936;1958;FA;Biased Intellectual;Low;M52041;X
5025022;Head of State;Lin Sen;1927;1943;1944;PA;Weary Stiffneck;High;2341;X
5025023;Chief of Air Force;Huang Bingheng;1922;1950;1966;PA;Carpet Bombing Doctrine;Medium;9404;X
5025024;Chief of Staff;Li Liejun;1908;1946;1946;PA;School of Mass Combat;Medium;9463;X
5025025;Foreign Minister;Wu Chaoshu;1913;1935;1935;SC;Apologetic Clerk;High;9517;X
5025026;Minister of Security;Luo Wengan;1912;1934;1964;PA;Efficient Sociopath;Medium;9412;X
5025027;Foreign Minister;Luo Wengan;1912;1934;1964;PA;Iron Fisted Brute;Medium;9412;X
5025028;Foreign Minister;Guo Taiqi;1912;1953;1953;SC;Ideological Crusader;Very High;9413;X
5025029;Foreign Minister;Zhang Qun;1928;1965;1965;PA;Great Compromiser;Very High;9406;X
5025030;Head of Government;Zhang Qun;1928;1972;1972;PA;Happy Amateur;Very High;9406;X
5025031;Minister of Armament;Zhang Qun;1928;1965;1965;PA;Military Entrepreneur;Very High;9406;X
5025032;Minister of Security;Chen Guofu;1911;1952;1952;FA;Crooked Kleptocrat;Very High;M52005;X
5025033;Minister of Armament;Chen Guofu;1914;1952;1952;FA;Corrupt Kleptocrat;Very High;M52005;X
5025034;Minister of Armament;Chen Lifu;1928;1952;1976;PA;Theoretical Scientist;Very High;9405;X
5025035;Chief of Air Force;Zhou Zhirou;1934;1964;1964;PA;Army Aviation Doctrine;Very High;9407;X
5025036;Chief of Army;Zhou Zhirou;1923;1964;1964;PA;Elastic Defence Doctrine;Very High;9407;X
5025037;Minister of Armament;Zhou Zhirou;1934;1964;1964;PA;Corrupt Kleptocrat;Very High;9407;X
5025038;Head of State;Song Ziwen;1919;1949;1967;SC;Autocratic Charmer;High;9235;X
5025039;Head of Government;Song Ziwen;1919;1949;1967;SC;Political Protege;High;9235;X
5025040;Foreign Minister;Song Ziwen;1919;1949;1967;SC;The Cloak N Dagger Schemer;High;9235;X
5025041;Head of Military Intelligence;Song Ziwen;1919;1949;1967;SC;Political Specialist;High;9235;X
5025042;Foreign Minister;Wang Chonghui;1905;1949;1949;SD;Ideological Crusader;High;9524;X
5025043;Minister of Security;Wang Chonghui;1905;1949;1949;SD;Silent Lawyer;High;9524;X
5025044;Head of Government;Kong Xiangxi;1911;1957;1957;SC;Corporate Suit;High;M52030;X
5025045;Head of Military Intelligence;Kong Xiangxi;1911;1957;1957;SC;Dismal Enigma;High;M52030;X
5025046;Minister of Armament;Kong Xiangxi;1911;1957;1957;SC;Laissez-faire Capitalist;High;M52030;X
5025047;Foreign Minister;Kong Xiangxi;1911;1957;1957;SC;Biased Intellectual;High;M52030;X
5025048;Foreign Minister;Wang Shijie;1945;1967;1967;PA;Apologetic Clerk;Low;M52038;X
5025049;Minister of Armament;Xu Yongchang;1924;1953;1953;PA;Military Entrepreneur;Medium;M52046;X
5025050;Chief of Staff;Xu Yongchang;1924;1953;1953;PA;School of Manoeuvre;Medium;M52046;X
5025051;Minister of Armament;Yu Feipeng;1913;1950;1950;PA;Military Entrepreneur;High;M52053;X
5025052;Minister of Armament;Cheng Mingshu;1931;1932;1955;PA;Infantry Proponent;Low;9415;X
5025053;Minister of Armament;Zhang Jiaao;1909;1964;1964;SL;Construction Magnate;Medium;9419;X
5025054;Minister of Armament;Ceng Yangfu;1925;1949;1970;SC;Tank Proponent;High;9420;X
5025055;Minister of Armament;Yu Dawei;1932;1973;1973;SC;Administrative Genius;Medium;9421;X
5025056;Foreign Minister;Yu Dawei;1930;1973;1973;SC;General Staffer;Medium;9421;X
5025057;Minister of Armament;Jiang Jingguo;1937;1989;1989;LWR;Mixed Economy;Very High;9423;X
5025058;Minister of Security;Jiang Jingguo;1937;1989;1989;LWR;Crime Fighter;Very High;9423;X
5025059;Head of State;Jiang Jingguo;1965;1989;1989;LWR;Die-hard Reformer;Very High;9423;X
5025060;Head of Government;Jiang Jingguo;1935;1989;1989;LWR;Political Protege;Very High;9423;X
5025061;Head of Military Intelligence;Jiang Jingguo;1950;1989;1989;LWR;Political Specialist;Very High;9423;X
5025062;Chief of Army;Du Jianshi;1939;1971;1971;SC;Static Defence Doctrine;High;9424;X
5025063;Minister of Armament;Weng Wenhao;1932;1949;1965;SC;Resource Industrialist;Low;9425;X
5025064;Head of Government;Weng Wenhao;1945;1949;1965;SC;Smiling Oilman;Low;9425;X
5025065;Minister of Security;Dai Chunfeng;1927;1947;1973;FA;Dai_Li_1;Undying;M52063;X
5025066;Head of Military Intelligence;Dai Chunfeng;1927;1947;1973;FA;Dai_Li_2;Undying;M52063;X
5025067;Minister of Security;Wu Zhongxin;1906;1950;1950;PA;Crime Fighter;High;M52065;X
5025068;Chief of Army;Wu Zhongxin;1906;1950;1950;PA;Decisive Battle Doctrine;High;M52065;X
5025069;Foreign Minister;Wu Zhongxin;1906;1950;1950;PA;General Staffer;High;M52065;X
5025070;Minister of Security;Huang Musong;1930;1938;1938;PA;Efficient Sociopath;High;M52066;X
5025071;Minister of Security;Gu Zhenglun;1931;1954;1954;PA;Crime Fighter;Very High;9426;X
5025072;Head of Military Intelligence;Ma Hansan;1938;1949;1982;PA;Logistics Specialist;High;9432;X
5025073;Head of Government;Cai Yuanpei;1926;1940;1940;FA;Flamboyant Tough Guy;Low;9427;X
5025074;Head of Military Intelligence;Xu Encheng;1931;1945;1945;PA;Technical Specialist;Medium;9428;X
5025075;Head of Military Intelligence;He Yaozu;1938;1962;1962;FA;Industrial Specialist;Low;M52079;X
5025076;Foreign Minister;He Yaozu;1934;1962;1962;FA;The Cloak N Dagger Schemer;Low;M52079;X
5025077;Minister of Security;He Yaozu;1928;1962;1962;FA;Prince of Terror;Low;M52079;X
5025078;Head of Military Intelligence;Mao Renfeng;1937;1957;1957;PA;Logistics Specialist;Very High;9429;X
5025079;Head of Military Intelligence;Jiang Yiying;1932;1950;1983;PA;Dismal Enigma;Very High;9431;X
5025080;Head of Military Intelligence;Yang Xuancheng;1938;1963;1963;PA;Naval Intelligence Specialist;Very High;M52082;X
5025081;Foreign Minister;Yang Xuancheng;1943;1963;1963;PA;The Cloak N Dagger Schemer;Very High;M52082;X
5025082;Head of Military Intelligence;Zheng Jiemin;1931;1960;1960;FA;Political Specialist;Very High;9430;X
5025083;Chief of Staff;Jiang Baili;1935;1939;1939;PA;School of Psychology;High;9434;X
5025084;Chief of Staff;Qian Dajun;1935;1958;1958;PA;School of Defence;High;9435;X
5025085;Chief of Air Force;Qian Dajun;1939;1958;1958;PA;Carpet Bombing Doctrine;High;9435;X
5025086;Chief of Staff;Xu Zuyi;1928;1961;1961;SC;School of Defence;High;M52093;X
5025087;Chief of Army;Gu Zhutong;1924;1958;1958;PA;Decisive Battle Doctrine;Medium;9436;X
5025088;Chief of Army;Xu Tingyao;1935;1958;1958;PA;Armoured Spearhead Doctrine;High;M52098;X
5025089;Minister of Armament;Xu Tingyao;1935;1958;1958;PA;Tank Proponent;High;M52098;X
5025090;Chief of Army;Bao Wenyue;1931;1937;1958;FA;Static Defence Doctrine;Low;9437;X
5025091;Chief of Navy;Ou Yangge;1913;1941;1961;PA;Open Seas Doctrine;High;M52101;X
5025092;Chief of Navy;Sa Shijun;1913;1939;1962;PA;Base Control Doctrine;High;9438;X
5025093;Head of Military Intelligence;Sa Shijun;1938;1939;1962;PA;Naval Intelligence Specialist;High;9438;X
5025094;Foreign Minister;He Zhonghan;1919;1966;1966;LWR;Ideological Crusader;High;9442;X
5025095;Minister of Security;He Zhonghan;1931;1966;1966;LWR;Man of the People;High;9442;X
5025096;Chief of Navy;Chen Jiliang;1914;1946;1949;PA;Power Projection Doctrine;High;M52103;X
5025097;Chief of Navy;Ceng Yiding;1922;1958;1958;SC;Indirect Approach Doctrine;Low;9444;X
5025098;Chief of Navy;Chen Ce;1917;1950;1950;ML;Open Seas Doctrine;Very High;9445;X
5025099;Chief of Army;Gui Yongqing;1935;1955;1955;PA;Static Defence Doctrine;Very High;M52104;X
5025100;Chief of Navy;Gui Yongqing;1945;1955;1955;PA;Decisive Naval Battle Doctrine;Very High;M52104;X
5025101;Chief of Army;Chen Cheng;1926;1963;1963;FA;Decisive Battle Doctrine;High;9446;X
5025102;Minister of Security;Chen Cheng;1949;1963;1963;FA;Prince of Terror;High;9446;X
5025103;Head of Government;Chen Cheng;1949;1963;1963;FA;Flamboyant Tough Guy;High;9446;X
5025104;Chief of Staff;Ren Yuandao;1924;1945;1956;FA;School of Defence;Low;9447;X
5025105;Minister of Armament;Ren Yuandao;1931;1945;1956;FA;Corrupt Kleptocrat;Low;9447;X
5025106;Chief of Navy;Ren Yuandao;1940;1945;1956;FA;Open Seas Doctrine;Low;9447;X
5025107;Chief of Navy;Shen Honglie;1911;1948;1948;PA;Base Control Doctrine;Very High;M52109;X
5025108;Chief of Air Force;Mao Bangchu;1929;1951;1970;PA;Vertical Envelopment Doctrine;High;9448;X
5025109;Minister of Armament;Mao Bangchu;1929;1951;1970;PA;Air Superiority Proponent;High;9448;X
5025110;Chief of Air Force;Gao Zhihang;1927;1938;1973;PA;Air Superiority Doctrine;High;9449;X
5025111;Chief of Air Force;Liu Cuigang;1934;1938;1979;PA;Naval Aviation Doctrine;High;9598;X
5025112;Chief of Air Force;Chen Chonghui;1935;1938;1977;PA;Naval Aviation Doctrine;High;2342;X
5025113;Head of State;Feng Yuxiang;1911;1950;1969;SD;Die-hard reformer;High;9303;X
607001;Head of State;Yan Xishan;1933;1964;1999;LWR;Yan_Xishan;Undying;948;X
607002;Head of Government;Yan Xishan;1933;1964;1999;LWR;old general;Undying;948;X
607003;Foreign Minister;Wang Zuanxu;1933;1964;1999;PA;Iron Fisted Brute;High;L50323;X
607004;Minister of Armament;Fu Zuoyi;1933;1964;1999;PA;Air to Ground Proponent;Medium;L50085;X
607005;Minister of Security;Qu Yangke;1933;1964;1999;PA;Prince of Terror;Medium;M503005;X
607006;Head of Military Intelligence;Shang Zhen;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M503006;X
607007;Chief of Staff;Yan Xishan;1933;1964;1999;LWR;School of Defence;Medium;948;X
607008;Chief of Army;Yan Xishan;1933;1964;1999;LWR;Doctrine of autonomy;Medium;948;X
607009;Chief of Navy;Dmitrij Krolcheff;1933;1964;1999;PA;Base Control Doctrine;Medium;M503009;X
607010;Chief of Air Force;Yan Xishan;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;948;X
607011;Minister of Armament;Yan Xishan;1933;1964;1999;LWR;Keynesian economy;Medium;948;X
607012;Head of Government;Wang Jingwei;1905;1964;1964;SD;Naive Optimist;High;M52041;X
585001;Head of State;Li Zongren;1910;1950;1966;PA;Resigned Generalissimo;High;620;X
585002;Head of Government;Huang Shaohong;1924;1961;1961;PA;Silent Workhorse;High;9416;X
585003;Foreign Minister;Li Zongren;1910;1950;1966;PA;Iron Fisted Brute;High;620;X
585004;Minister of Armament;Yu Hanmou;1920;1962;1962;PA;Infantry Proponent;Medium;M502004;X
585006;Head of Military Intelligence;Li Jishen;1944;1950;1951;ML;Dismal Enigma;Medium;2333;X
585007;Chief of Staff;Li Jishen;1911;1950;1951;ML;School of Manoeuvre;Medium;2333;X
585008;Chief of Staff;Bai Chongxi;1915;1959;1959;PA;School of Manoeuvre;High;M502007;X
585009;Chief of Army;Chen Jitang;1908;1936;1955;PA;Guns and Butter Doctrine;Medium;M502008;X
585010;Chief of Navy;Bai Chongxi;1915;1959;1959;PA;Indirect Approach Doctrine;High;M502007;X
585011;Minister of Armament;Wang Shuming;1936;1970;1970;ML;Air to Sea Proponent;Medium;9422;X
585012;Chief of Air Force;Wang Shuming;1936;1970;1970;ML;Vertical Envelopment Doctrine;Medium;9422;X
585013;Head of State;Li Jishen;1911;1950;1951;ML;Weary Stiffneck;High;2333;X
585014;Head of Government;Li Zongren;1910;1950;1966;PA;Flamboyant Tough Guy;High;620;X
585015;Minister of Armament;Huang Shaohong;1924;1961;1961;PA;Keynesian economy;High;9416;X
585016;Chief of Army;Huang Shaohong;1924;1961;1961;PA;Decisive Battle Doctrine;High;9416;X
585100;Head of State;Lu Rongting;1886;1925;1929;PA;Resigned Generalissimo;High;9544;X
585101;Head of Government;Li Guoyun;1903;1925;1956;PA;Naive Optimist;High;9545;X
585102;Foreign Minister;Lu Rongting;1886;1925;1929;PA;Biased Intellectual;High;9544;X
585103;Minister of Armament;Chen Bingkun;1904;1925;1928;PA;Resource Industrialist;Medium;9546;X
585104;Minister of Security;Zhu Qinglan;1893;1942;1942;PA;Man of the People;Medium;9547;X
585105;Head of Military Intelligence;Zhu Qinglan;1893;1942;1942;PA;Political Specialist;Very High;9547;X
585106;Chief of Staff;Lu Rongting;1886;1925;1929;PA;School of Mass Combat;Medium;9544;X
585107;Chief of Army;Tan Haoming;1893;1925;1926;PA;Decisive Battle Doctrine;Medium;9549;X
585108;Chief of Navy;Lin Baoyi;1894;1928;1931;PA;Decisive Naval Battle Doctrine;High;9550;X
585109;Chief of Air Force;Lu Rongting;1886;1925;1929;PA;Army Aviation Doctrine;Medium;9544;X
585110;Head of State;Chen Bingkun;1904;1925;1928;PA;Autocratic Charmer;High;9546;X
585111;Head of State;Tan Haoming;1893;1925;1926;PA;Resigned Generalissimo;High;9549;X
585112;Head of Government;Zhu Qinglan;1893;1942;1942;PA;Old General;High;9548;X
585113;Foreign Minister;Zhu Qinglan;1893;1942;1942;PA;General Staffer;High;9548;X
585114;Head of State;Cen Chenxuan;1918;1933;1933;PA;Cen Chenxuan;High;9552;X
585115;Head of Government;Lu Rongting;1886;1925;1929;PA;Old General;High;9544;X
585116;Head of State;Chen Jiongming;1909;1922;1933;PA;Weary Stiffneck;High;9515;X
585117;Head of Government;Ma Junwu;1902;1925;1941;PA;Happy Amateur;High;9553;X
